Year,YearCode,Country me,Country Code,ari,adjsav_eduexp,ado_fert_rate,agedep_work,agedep_young,agrland,brate,gen_eq_rate,gov_debt,fert_rate,c_gdp,grow_gdp,percap_gdp,gini,percap_healthexp,healthexp_gdp,ishare_low20,de_gdp,lifeexp_f,lifeexp_m,lifeexp,mortrate_inf,mortrate_un5,mortrate_un5f,mortrate_un5m,grow_pop,immu_dpt,immu_mea,hiv_fe15up
2010,YR2010,Cyprus,CYP,,6.85852,5.904601,41.51567402,25.14556231,12.33766234,11.665,,102.2997423,1.478,19207097486,1.3,25198.03189,,2011.790843,3.184947155,,1.740049019,81.438,77.283,79.30982927,2.9,3.6,3.3,3.9,1.196967402,99,87,
2010,YR2010,Czech Republic,CZE,,4.24543,7.3904,41.98607042,20.15135986,54.81615743,11.1,,34.99728295,1.49,1.48E+11,2.469311484,23619.69184,,1402.636017,6.250730201,,-1.581595662,80.6,74.4,77.42439024,3.4,4.1,3.6,4.5,0.310506715,99,98,15.3
2010,YR2010,Denmark,DNK,,8.13074,5.4082,52.96284706,27.47575879,61.89017205,11.4,,43.48276888,1.87,2.57E+11,1.577242002,32378.5798,,6253.248582,9.462866626,,4.143480405,81.2,77.1,79.1,3.3,4,3.6,4.4,0.444197155,90,85,26.5
2010,YR2010,Djibouti,DJI,,,19.9944,60.85957755,54.91265889,73.4253667,28.385,3,,3.604,,,,,99.0097519,5.391890252,,,61.858,58.799,60.29119512,69.3,85.9,80.1,91.4,1.47004189,88,85,57.3
2010,YR2010,Dominica,DMA,,3.13722,,,,34.66666667,13.11000885,3,,,459398784.9,0.964531355,11190.36836,,409.6212686,4.192942336,,-2.891245934,,,,11.9,13.1,12,14.2,0.24056904,98,99,
2010,YR2010,Dominican Republic,DOM,,1.87715,103.2332,59.1793547,49.62329827,50.64155629,21.907,,,2.584,47848657632,7.751220866,8312.003566,47.2,280.5456467,2.753456589,4.67,5.141807804,76.02,69.718,72.79214634,24.1,28.8,25.8,31.7,1.33192851,88,79,52.3
2010,YR2010,Ecuador,ECU,,1.37589,79.6208,59.03540723,49.22664493,30.18883878,21.794,,,2.655,48764673105,2.953077302,7691.748078,49.26,318.4353037,3.196550919,4.29,4.890408361,78.642,72.796,75.64770732,21,24.8,21.7,27.8,1.644315182,99,95,21.7
2010,YR2010,"Egypt, Arab Rep.",EGY,,4.411125573,45.2646,58.7456705,50.02732317,3.687779396,24.078,,,2.883,1.21E+11,5.146618791,5759.764965,,125.2886577,1.856915262,,10.10750976,72.852,68.164,70.45082927,19.6,23,21.9,24.1,1.6799567,97,96,23.7
2010,YR2010,El Salvador,SLV,,3.03281,78.6746,63.81880985,52.56416826,73.80984556,20.433,,49.52073694,2.263,18341273340,1.364783667,5953.333736,,237.5749496,4.245399689,,2.269601045,76.447,67.051,71.63441463,14.9,17.3,15.2,19.2,0.559780505,92,92,38.2
2010,YR2010,Equatorial Guinea,GNQ,,1.15841,116.7244,73.09405926,68.05837963,10.83778966,36.645,,,5.14,9718622518,-1.698176343,25619.21619,,846.513873,2.431265237,,26.3309213,52.979,50.156,51.53307317,76.4,107,100.7,113.1,2.813841402,33,51,55.8
