countries,adjsav_eduexp,ado_fert_rate,agedep_work,agedep_young,agrland,brate,fert_rate,c_gdp,grow_gdp,percap_gdp,percap_healthexp,healthexp_gdp,de_gdp,lifeexp_f,lifeexp_m,lifeexp,mortrate_inf,mortrate_un5,mortrate_un5f,mortrate_un5m,grow_pop,immu_dpt,immu_mea,hiv_fe15up,CO2emission
FSM,5.7,21.3,68.76,62.27,30.09,23.73,3.46,246418336,2.53,3178.14,365.47,12.46,3.37,69.49,67.79,68.62,33,40.8,36.6,44.7,-0.35,85,80,38.72,1.07
MDA,7.74,31.08,38.56,23.1,75.03,12.35,1.48,3501430332,7.09,2793.38,190.43,5.35,11.08,72.42,64.68,68.46,16.1,18.8,16.6,20.9,-0.1,90,97,33.6,2.9
MNG,5.09,18.84,44.44,38.93,73.11,22.93,2.44,3453733410,6.37,3677.98,123.97,3.14,20.03,70.98,63,66.89,25.2,30.2,24.2,35.8,1.5,96,97,49.7,5.26
MNE,5.58,16.55,46.9,28.6,38.07,12.06,1.7,2803866144,2.5,10343.65,583.89,5.96,1.58,76.76,72.19,74.42,6.4,6.9,6.5,7.3,0.11,94,90,23.57,4.17
MAR,5.2,34.55,49.57,42.07,67.19,21.83,2.58,75523499824,3.64,4268.03,166.4,2.07,0.65,71.95,68.47,70.17,28.8,33.5,29.9,36.9,1.16,99,98,38.4,1.66
MOZ,4.02,147.67,94.47,88.18,62.82,40.67,5.41,9127794919,7.08,805.05,24.71,3.32,10.48,50.18,48.14,49.14,71.1,101.3,96.2,106.2,2.56,74,82,59,0.12
MMR,0.84,13.72,45.27,37.87,19.17,17.9,2,3.87E+11,6.42,4834.77,17.33,0.24,10.65,66.68,62.58,64.58,43.7,56,50.5,61.3,0.76,90,88,31.8,0.16
M,7.97,62.71,69.86,64,47.14,27.08,3.23,8902636343,6.27,6092.03,269.43,3.21,1.55,65.39,59.71,62.48,31.1,45.3,41,49.3,1.64,83,75,57.9,1.5466
NPL,4.2,82.12,72.5,64.01,29.71,23.11,2.62,10103288981,4.82,1204.53,27.55,1.89,15.15,68.22,66.04,67.1,36.4,45.5,42.9,48,1.13,82,86,31.6,0.17
NLD,4.74,5.82,49.13,26.1,56.59,11.1,1.79,6.83E+11,1.53,36888.29,5683.06,10.27,0.82,82.7,78.8,80.7,3.7,4.4,3.9,4.8,0.51,97,96,15.3,10.3
NZL,7.16,27.23,50.36,30.81,43.33,14.76,2.16,1.19E+11,0.24,25215.03,3266.82,8.39,4.7,82.7,78.8,80.7,4.9,6,5.3,6.6,1.2,93,91,22.6,7.16
NIC,2.96,105.56,64.16,56.65,42.76,23.93,2.63,7290785418,3.62,3255.62,113.09,5.69,6.68,76.94,70.8,73.8,22,26.1,23,29,1.36,98,99,30.4,0.77
NER,3.52,206.71,110.12,104.69,34.56,50.05,7.58,4381636015,8.37,641.55,17.4,2.38,2.55,57.13,56.85,56.99,67.1,126.6,122.9,130.1,3.79,70,71,54.2,0.08
NGA,0.85,121.33,87.8,82.67,83.67,41.93,6.02,1.59E+11,7.84,2170.06,67.12,1.71,26.75,51.59,51.01,51.29,82.6,132.4,126.4,138,2.75,54,56,57.5,0.57
NOR,6.58,8.27,51.09,28.41,3.31,12.6,1.95,3.16E+11,0.48,46773.9,8038.69,7.98,6.29,83.2,78.9,81,2.5,3.1,2.8,3.5,1.25,93,93,29.4,8.56
OMN,4.21,11.79,42.68,39.1,5.72,21.79,2.9,41930341498,5.59,24753.12,568.33,2.22,18.85,78.24,73.96,76.05,10.3,11.9,10.7,13.1,5.11,99,99,24.1,15.28
PAK,1.56,28.73,66,58.83,34.25,26.64,3.43,1.30E+11,1.61,2324.34,28.04,0.79,10.85,66.99,65.3,66.13,72.2,90,86.2,93.7,1.78,86,82,27.3,0.78
PAN,3.53,80.95,56.45,45.87,30.4,20.4,2.55,23122824847,7.45,12066.99,662.65,6.08,2.41,79.96,74.08,76.95,16.9,19.7,17.4,21.8,1.71,94,97,31,2.52
PNG,3.71,64.02,71.92,67.15,2.63,30.23,3.95,6553203636,8,2217.11,56.73,3.09,9.26,64.16,59.96,62.01,50.7,66.6,61.4,71.4,2.27,56,55,56.8,0.69
PRY,3.71,69.1,63.16,54.72,52.83,24.29,2.97,11148152795,13.09,5312.81,271.61,3.29,6.1,74.25,69.91,72.03,20,23.6,21.1,26,1.75,89,94,42.1,0.81
PER,2.27,52.33,56.22,46.86,16.77,20.55,2.51,1.12E+11,8.79,8502.61,258.16,2.74,4.28,76.67,71.27,73.91,15.7,20.2,18.1,22.1,1.13,93,94,31.4,1.57
PHL,2.44,49.71,63.93,57.84,40.25,25.02,3.15,1.31E+11,7.63,3553.5,88.74,1.5,4.22,71.73,64.9,68.23,24.7,31.6,27.7,35.3,1.68,79,80,17.6,0.89
POL,4.99,13.29,39.93,21,48.01,10.8,1.38,3.83E+11,4.07,17372.27,851.08,5,1.24,80.6,72.1,76.25,5.1,5.9,5.3,6.4,0.08,99,98,20.4,8.25
PRT,5.72,14.26,49.62,22.67,40.2,9.5,1.36,1.97E+11,1.94,21779.65,2305.87,7.06,0.62,82.1,76.1,79.03,3.1,3.8,3.5,4.2,0.05,98,96,29.9,4.82
QAT,1.88,11.76,17.41,16.12,5.68,11.68,2.08,92687851406,16.73,70239.31,1488.6,1.59,9.84,79.05,77.29,78.15,6.9,8.1,7.5,8.6,11.22,97,99,19.96,33.54
ROM,3.36,30.93,42.55,21.4,61.53,9.9,1.33,1.12E+11,-1.65,10715.06,457.23,4.78,6.02,77.3,69.8,73.46,11.8,13.5,12,15,-0.2,94,95,30,4.6348
